GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
27163	9.20e-01	8.88e-02	0.3924	-1.7015126	-0.66775597	61.49	NAAA	N-acylethanolamine acid amidase
10611	9.20e-01	7.97e-02	0.1997	-1.7522026	-0.34991222	1470.52	PDLIM5	PDZ and LIM domain 5
4085	9.20e-01	8.23e-02	0.2346	1.7374622	0.40754866	2975.33	MAD2L1	mitotic arrest deficient 2 like 1
55314	9.20e-01	9.01e-02	0.743	-1.6946591	-1.25908692	215.2	TMEM144	transmembrane protein 144
201725	9.20e-01	7.89e-02	0.163	1.757279	0.28648318	876.24	C4orf46	chromosome 4 open reading frame 46
57600	9.20e-01	8.86e-02	0.6298	-1.7026484	-1.07231583	506.44	FNIP2	folliculin interacting protein 2
152756	9.20e-01	7.87e-02	0.6658	-1.7584768	-1.17084143	35.82	FAM218A	family with sequence similarity 218 member A
9848	9.20e-01	9.17e-02	0.785	-1.6866781	-1.32399905	323.71	MFAP3L	microfibril associated protein 3 like
6550	9.20e-01	8.27e-02	0.4941	-1.7351369	-0.857386	291.72	SLC9A3	solute carrier family 9 member A3
107986383	9.20e-01	8.62e-02	0.3041	1.7156098	0.52169926	150.54	LOC107986383	uncharacterized LOC107986383
345778	9.20e-01	8.85e-02	0.1773	1.7034811	0.30200817	2172.23	MTX3	metaxin 3
10622	9.20e-01	8.07e-02	0.5893	1.7465499	1.0292185	4190.63	POLR3G	RNA polymerase III subunit G
153733	9.20e-01	9.25e-02	0.4219	1.682175	0.70963929	594.36	CCDC112	coiled-coil domain containing 112
9627	9.20e-01	8.80e-02	0.3612	-1.706247	-0.61636766	95.72	SNCAIP	synuclein alpha interacting protein
116842	9.20e-01	8.91e-02	0.6097	-1.7004192	-1.03680299	13.52	LEAP2	liver enriched antimicrobial peptide 2
51265	9.20e-01	8.74e-02	0.221	1.7091173	0.37770618	111.59	CDKL3	cyclin dependent kinase like 3
10307	9.20e-01	8.74e-02	0.2256	-1.7093416	-0.38554563	184.33	APBB3	amyloid beta precursor protein binding family B member 3
206358	9.20e-01	8.07e-02	0.4089	-1.7464191	-0.71417611	450.2	SLC36A1	solute carrier family 36 member 1
2264	9.20e-01	8.75e-02	0.3469	-1.7085656	-0.59263243	1635.53	FGFR4	fibroblast growth factor receptor 4
9260	9.20e-01	9.11e-02	0.1583	1.6894444	0.26737173	1012.97	PDLIM7	PDZ and LIM domain 7
80230	9.20e-01	8.47e-02	0.6463	-1.7238772	-1.11410898	750.92	RUFY1	RUN and FYVE domain containing 1
6239	9.20e-01	9.25e-02	0.5611	-1.6825352	-0.94403431	1904.06	RREB1	ras responsive element binding protein 1
51000	9.20e-01	9.08e-02	0.4086	-1.6910193	-0.69095353	287.09	SLC35B3	solute carrier family 35 member B3
107986566	9.20e-01	8.50e-02	1.0475	-1.7224624	-1.80434436	17.62	LOC107986566	
4277	9.20e-01	8.69e-02	0.5867	-1.711813	-1.00424848	711.68	MICB	MHC class I polypeptide-related sequence B
89845	9.20e-01	8.89e-02	0.5953	-1.701252	-1.01267591	488.69	ABCC10	ATP binding cassette subfamily C member 10
23493	9.20e-01	8.34e-02	0.497	-1.7313792	-0.86047237	328.64	HEY2	hes related family bHLH transcription factor with YRPW motif 2
9590	9.20e-01	8.84e-02	0.7718	-1.7036893	-1.3148839	8340.16	AKAP12	A-kinase anchoring protein 12
26230	9.20e-01	8.08e-02	0.8695	-1.7462153	-1.51838981	446.03	TIAM2	TIAM Rac1 associated GEF 2
5689	9.20e-01	8.47e-02	0.1892	1.7242204	0.32627777	4110.54	PSMB1	proteasome 20S subunit beta 1
10643	9.20e-01	8.15e-02	0.2619	1.7419213	0.45620683	4810.8	IGF2BP3	insulin like growth factor 2 mRNA binding protein 3
64598	9.20e-01	8.77e-02	0.2544	-1.7073893	-0.43431878	212.94	MOSPD3	motile sperm domain containing 3
54674	9.20e-01	8.14e-02	1.3974	-1.7425825	-2.43510864	36.47	LRRN3	leucine rich repeat neuronal 3
378805	9.20e-01	7.91e-02	0.4304	1.7562135	0.75592211	67.77	LINC-PINT	long intergenic non-protein coding RNA, p53 induced transcript
401428	9.20e-01	8.33e-02	0.6256	1.731637	1.08326892	175.26	OR2A20P	olfactory receptor family 2 subfamily A member 20 pseudogene
441295	9.20e-01	9.03e-02	0.5667	1.6938603	0.95999451	181.59	OR2A9P	olfactory receptor family 2 subfamily A member 9 pseudogene
54480	9.20e-01	8.28e-02	0.4616	-1.7346525	-0.80066341	305.29	CHPF2	chondroitin polymerizing factor 2
285	9.20e-01	9.14e-02	0.7288	-1.6882454	-1.2304611	17.12	ANGPT2	angiopoietin 2
11244	9.20e-01	8.90e-02	0.4168	-1.7009152	-0.70898311	99.5	ZHX1	zinc fingers and homeoboxes 1
286122	9.20e-01	9.28e-02	1.1101	-1.6809599	-1.86605077	17.43	LINC02904	long intergenic non-protein coding RNA 2904
65263	9.20e-01	8.59e-02	0.2828	-1.7177044	-0.48568388	157.78	PYCR3	pyrroline-5-carboxylate reductase 3
11168	9.20e-01	9.21e-02	0.4192	1.6843145	0.70613903	10870.29	PSIP1	PC4 and SRSF1 interacting protein 1
340485	9.20e-01	9.19e-02	0.6829	-1.6855437	-1.15101802	441.68	ACER2	alkaline ceramidase 2
9853	9.20e-01	8.96e-02	0.3502	-1.6975979	-0.59454199	324.26	RUSC2	RUN and SH3 domain containing 2
9925	9.20e-01	9.07e-02	0.2282	1.6918187	0.38604962	930.02	ZBTB5	zinc finger and BTB domain containing 5
1514	9.20e-01	9.13e-02	0.8454	-1.6885136	-1.42739886	880.84	CTSL	cathepsin L
445577	9.20e-01	8.99e-02	0.5531	-1.6959243	-0.93805338	244.94	FAM120A2P	family with sequence similarity 120A2, pseudogene
10783	9.20e-01	8.18e-02	0.4506	-1.7402434	-0.78420254	565.89	NEK6	NIMA related kinase 6
29882	9.20e-01	8.46e-02	0.2045	-1.7247025	-0.35266854	402.16	ANAPC2	anaphase promoting complex subunit 2
8031	9.20e-01	8.82e-02	0.5928	-1.7049831	-1.010629	3173	NCOA4	nuclear receptor coactivator 4
414212	9.20e-01	9.27e-02	0.3421	-1.6811399	-0.57504704	34.85	GLUD1P2	glutamate dehydrogenase 1 pseudogene 2
2074	9.20e-01	8.28e-02	0.3344	-1.7345642	-0.57999983	383.27	ERCC6	ERCC excision repair 6, chromatin remodeling factor
219699	9.20e-01	9.22e-02	0.5787	-1.6841317	-0.97467968	1397.95	UNC5B	unc-5 netrin receptor B
414236	9.20e-01	8.21e-02	0.8507	-1.7388155	-1.4791848	120.34	C10orf55	chromosome 10 putative open reading frame 55
105378421	9.20e-01	8.06e-02	0.786	1.7472109	1.37332446	25.25	PANK1-AS1	PANK1 antisense RNA 1
22849	9.20e-01	8.33e-02	0.696	-1.7318026	-1.20534573	196.6	CPEB3	cytoplasmic polyadenylation element binding protein 3
118924	9.20e-01	8.53e-02	0.2759	1.7207185	0.4748138	569.98	FRA10AC1	FRA10A associated CGG repeat 1
100533195	9.20e-01	9.06e-02	1.038	1.6921326	1.75642231	60.08	FAM24B-CUZD1	FAM24B-CUZD1 readthrough
50624	9.20e-01	9.06e-02	1.038	1.6921326	1.75642231	60.08	CUZD1	CUB and zona pellucida like domains 1
9184	9.20e-01	8.97e-02	0.322	1.6970192	0.54644753	5517.1	BUB3	BUB3 mitotic checkpoint protein
51363	9.20e-01	9.06e-02	0.6785	-1.6921929	-1.1480743	506.82	CHST15	carbohydrate sulfotransferase 15
79751	9.20e-01	9.08e-02	0.5695	-1.6910544	-0.96312709	797.01	SLC25A22	solute carrier family 25 member 22
283229	9.20e-01	9.25e-02	0.2027	-1.6822056	-0.34101973	297.83	CRACR2B	calcium release activated channel regulator 2B
117854	9.20e-01	9.21e-02	0.4987	-1.6845093	-0.84010348	574.81	TRIM6	tripartite motif containing 6
100506540	9.20e-01	8.10e-02	0.3399	-1.744982	-0.59318711	90.48	MISFA	mitochondrial sheath formation associated
91057	9.20e-01	8.30e-02	0.2281	1.7333308	0.39531118	564.08	CCDC34	coiled-coil domain containing 34
105369332	9.20e-01	8.51e-02	0.5408	-1.7220154	-0.93124191	87.77	STX5-DT	STX5 divergent transcript
2101	9.20e-01	8.96e-02	0.719	-1.6975001	-1.22047227	1037.43	ESRRA	estrogen related receptor alpha
7542	9.20e-01	9.10e-02	0.1769	-1.690241	-0.29906785	483.85	ZFPL1	zinc finger protein like 1
9158	9.20e-01	8.60e-02	0.1746	1.7166437	0.29964461	769.98	FIBP	FGF1 intracellular binding protein
595	9.20e-01	8.05e-02	0.4063	-1.7477849	-0.71006482	4329.63	CCND1	cyclin D1
51773	9.20e-01	8.31e-02	0.2246	1.7331234	0.38932627	3431.21	RSF1	remodeling and spacing factor 1
283219	9.20e-01	8.46e-02	0.5237	-1.7248392	-0.90331592	81.4	KCTD21	potassium channel tetramerization domain containing 21
105369438	9.20e-01	7.89e-02	0.3739	-1.7571823	-0.65693296	32.17	PIWIL4-AS1	PIWIL4 antisense RNA 1
10413	9.20e-01	8.01e-02	0.1932	1.7500224	0.33804363	5082.74	YAP1	Yes1 associated transcriptional regulator
105369551	9.20e-01	9.22e-02	0.5707	1.6838449	0.96094607	14.77	LOC105369551	uncharacterized LOC105369551
219833	9.20e-01	8.94e-02	0.5975	-1.6985975	-1.01489599	13.29	KCNJ5-AS1	KCNJ5 antisense RNA 1
23085	9.20e-01	8.63e-02	0.3348	-1.7152816	-0.57428869	1956.15	ERC1	ELKS/RAB6-interacting/CAST family member 1
196528	9.20e-01	8.96e-02	0.1994	1.6976556	0.33854253	2166.81	ARID2	AT-rich interaction domain 2
9182	9.20e-01	8.97e-02	0.8674	-1.6967948	-1.47182456	26.11	RASSF9	Ras association domain family member 9
101929162	9.20e-01	9.07e-02	0.4543	-1.6919684	-0.76868417	22	PRDM4-AS1	PRDM4 antisense RNA 1
54434	9.20e-01	8.86e-02	0.352	-1.7028663	-0.59946611	902.74	SSH1	slingshot protein phosphatase 1
105369974	9.20e-01	8.81e-02	0.5607	1.7054007	0.95613546	12.64	LOC105369974	uncharacterized LOC105369974
29902	9.20e-01	9.11e-02	0.3952	1.6895126	0.66761962	478.74	FAM216A	family with sequence similarity 216 member A
144717	9.20e-01	8.94e-02	0.3137	-1.6983865	-0.53275265	333.28	PHETA1	PH domain containing endocytic trafficking adaptor 1
10019	9.20e-01	8.94e-02	0.3659	-1.6983104	-0.62136215	1162.23	SH2B3	SH2B adaptor protein 3
387893	9.20e-01	8.48e-02	0.4358	-1.7233142	-0.75102369	431.25	KMT5A	lysine methyltransferase 5A
196385	9.20e-01	8.79e-02	0.6611	-1.7065454	-1.1281189	30.53	DNAH10	dynein axonemal heavy chain 10
112268102	9.20e-01	8.05e-02	0.5477	1.7477123	0.95715699	15	LOC112268102	uncharacterized LOC112268102
23111	9.20e-01	7.91e-02	0.5974	-1.7557678	-1.04881156	1231.52	SPART	spartin
10910	9.20e-01	7.97e-02	0.1245	1.752512	0.21813862	1693.18	SUGT1	SGT1 homolog, MIS12 kinetochore complex assembly cochaperone
122786	9.20e-01	8.32e-02	0.3956	-1.7324998	-0.68543341	656.61	FRMD6	FERM domain containing 6
3958	9.20e-01	8.79e-02	0.7441	-1.7068248	-1.27011143	77.97	LGALS3	galectin 3
100289511	9.20e-01	9.11e-02	0.2844	1.6895921	0.48046966	52.04	LOC100289511	uncharacterized LOC100289511
53349	9.20e-01	8.88e-02	0.3058	-1.7019004	-0.52035812	368.74	ZFYVE1	zinc finger FYVE-type containing 1
51004	9.20e-01	7.91e-02	0.2349	-1.7558298	-0.41243058	127.72	COQ6	coenzyme Q6, monooxygenase
100616211	9.20e-01	8.09e-02	0.2576	-1.7455987	-0.44969373	86.16	MIR4709	microRNA 4709
80017	9.20e-01	8.52e-02	0.2024	-1.7211327	-0.34832002	380.38	DGLUCY	D-glutamate cyclase
57062	9.20e-01	9.14e-02	0.1588	1.6881211	0.26815658	3115.61	DDX24	DEAD-box helicase 24
84888	9.20e-01	8.80e-02	0.7133	-1.70598	-1.21695322	1111.71	SPPL2A	signal peptide peptidase like 2A
10260	9.20e-01	7.96e-02	0.4951	-1.7531947	-0.86798032	564.86	DENND4A	DENN domain containing 4A
115752	9.20e-01	8.95e-02	0.1402	1.6980887	0.23813066	1344.82	DIS3L	DIS3 like exosome 3'-5' exoribonuclease
55323	9.20e-01	8.16e-02	0.6949	-1.7415068	-1.21016357	488.84	LARP6	La ribonucleoprotein 6, translational regulator
176	9.20e-01	7.87e-02	1.0042	-1.7584277	-1.76584153	70.81	ACAN	aggrecan
10509	9.20e-01	8.58e-02	0.2707	-1.7182375	-0.46515702	1174.61	SEMA4B	semaphorin 4B
390637	9.20e-01	9.07e-02	0.5223	-1.6917093	-0.88357899	28.25	GDPGP1	GDP-D-glucose phosphorylase 1
899	9.20e-01	8.63e-02	0.3065	-1.7151048	-0.52560559	1658.33	CCNF	cyclin F
9088	9.20e-01	9.04e-02	0.3507	-1.693536	-0.59387026	925.11	PKMYT1	protein kinase, membrane associated tyrosine/threonine 1
146439	9.20e-01	9.13e-02	0.3284	-1.688823	-0.55464099	204.38	BICDL2	BICD family like cargo adaptor 2
51061	9.20e-01	8.70e-02	0.5995	-1.7113722	-1.02604933	312.48	TXNDC11	thioredoxin domain containing 11
100289092	9.20e-01	8.02e-02	0.4589	1.7495016	0.80291447	79.09	ATP2A1-AS1	ATP2A1 antisense RNA 1
100526831	9.20e-01	8.39e-02	0.5525	-1.7286595	-0.95516819	380.41	SLX1B-SULT1A4	SLX1B-SULT1A4 readthrough (NMD candidate)
100526830	9.20e-01	8.43e-02	0.5526	-1.7264849	-0.95400142	388.11	SLX1A-SULT1A3	SLX1A-SULT1A3 readthrough (NMD candidate)
260434	9.20e-01	8.82e-02	0.4477	1.7051102	0.76340458	24.82	PYDC1	pyrin domain containing 1
6560	9.20e-01	8.43e-02	0.1567	-1.7261639	-0.27041511	1042.92	SLC12A4	solute carrier family 12 member 4
55794	9.20e-01	8.12e-02	0.4585	-1.7437765	-0.79957594	251.66	DDX28	DEAD-box helicase 28
999	9.20e-01	7.97e-02	0.2949	-1.7526992	-0.51685742	7752.31	CDH1	cadherin 1
283970	9.20e-01	8.50e-02	0.4441	-1.7223764	-0.76495772	896.59	PDXDC2P-NPIPB14P	PDXDC2P-NPIPB14P readthrough
5119	9.20e-01	8.38e-02	0.29	-1.7288166	-0.50132527	1250.12	CHMP1A	charged multivesicular body protein 1A
92822	9.20e-01	8.91e-02	0.2707	-1.7004284	-0.46036551	402.14	ZNF276	zinc finger protein 276
400566	9.20e-01	8.53e-02	0.5771	-1.7206964	-0.99304777	13.62	C17orf97	chromosome 17 open reading frame 97
29	9.20e-01	8.63e-02	0.6527	-1.7151232	-1.11943143	2537.07	ABR	ABR activator of RhoGEF and GTPase
124997	9.20e-01	8.42e-02	0.4795	-1.7265551	-0.82780973	313.49	WDR81	WD repeat domain 81
23729	9.20e-01	8.17e-02	0.692	-1.7407264	-1.20451915	1244.28	SHPK	sedoheptulokinase
84254	9.20e-01	8.75e-02	0.267	-1.7085387	-0.45621809	367.4	CAMKK1	calcium/calmodulin dependent protein kinase kinase 1
7775	9.20e-01	8.33e-02	0.6342	-1.7318487	-1.0983332	598.56	ZNF232	zinc finger protein 232
22899	9.20e-01	8.81e-02	0.4555	-1.705441	-0.77687702	139.99	ARHGEF15	Rho guanine nucleotide exchange factor 15
55090	9.20e-01	8.10e-02	0.4503	-1.7449438	-0.78579563	401.91	MED9	mediator complex subunit 9
146691	9.20e-01	7.91e-02	0.2875	-1.7556947	-0.50471759	147.34	TOM1L2	target of myb1 like 2 membrane trafficking protein
105371730	9.20e-01	8.94e-02	0.4035	1.6987966	0.68539746	31.2	LOC105371730	uncharacterized LOC105371730
379	9.20e-01	8.46e-02	0.3677	-1.7244004	-0.63405452	148.91	ARL4D	ADP ribosylation factor like GTPase 4D
284058	9.20e-01	9.25e-02	0.1611	1.68246	0.27109836	1658.99	KANSL1	KAT8 regulatory NSL complex subunit 1
80221	9.20e-01	8.37e-02	0.5414	-1.729452	-0.93634656	240.25	ACSF2	acyl-CoA synthetase family member 2
5889	9.20e-01	8.05e-02	0.6528	-1.7476023	-1.14088146	269.6	RAD51C	RAD51 paralog C
4591	9.20e-01	9.19e-02	0.207	1.6857124	0.34897089	2646.08	TRIM37	tripartite motif containing 37
8313	9.20e-01	9.00e-02	0.5748	-1.6951803	-0.97440256	550.86	AXIN2	axin 2
8632	9.20e-01	8.43e-02	0.2461	1.7264591	0.42483955	105.13	DNAH17	dynein axonemal heavy chain 17
5148	9.20e-01	8.81e-02	0.5408	-1.7057091	-0.92244529	153.2	PDE6G	phosphodiesterase 6G
284207	9.20e-01	8.88e-02	0.6782	-1.7015502	-1.15403799	236.21	METRNL	meteorin like, glial cell differentiation regulator
105371952	9.20e-01	9.01e-02	0.5908	1.6947788	1.00128072	14.68	LOC105371952	uncharacterized LOC105371952
57132	9.20e-01	8.45e-02	0.1176	1.725306	0.20287669	1337.44	CHMP1B	charged multivesicular body protein 1B
84307	9.20e-01	8.50e-02	0.1332	1.7221438	0.22935452	2466.75	ZNF397	zinc finger protein 397
102723811	9.20e-01	8.85e-02	0.7415	1.7032684	1.26292563	12.09	LOC102723811	uncharacterized LOC102723811
84717	9.20e-01	9.07e-02	0.1435	1.6915626	0.2426845	2606.53	HDGFL2	HDGF like 2
440503	9.20e-01	9.10e-02	0.4493	-1.6902367	-0.75941671	30.07	PLIN5	perilipin 5
29128	9.20e-01	9.00e-02	0.4149	-1.6952913	-0.70330513	900.11	UHRF1	ubiquitin like with PHD and ring finger domains 1
163154	9.20e-01	8.98e-02	0.8654	-1.6963551	-1.46803492	30.46	PRR22	proline rich 22
56927	9.20e-01	8.70e-02	0.2429	-1.711591	-0.41576395	647.54	GPR108	G protein-coupled receptor 108
3949	9.20e-01	8.03e-02	0.258	-1.7490472	-0.45130304	4290.24	LDLR	low density lipoprotein receptor
57572	9.20e-01	8.55e-02	0.4124	-1.7198305	-0.7091983	1688.14	DOCK6	dedicator of cytokinesis 6
1264	9.20e-01	8.54e-02	0.2823	1.7200664	0.4855183	170.03	CNN1	calponin 1
3726	9.20e-01	8.00e-02	0.8535	-1.7508674	-1.49438731	110.72	JUNB	JunB proto-oncogene, AP-1 transcription factor subunit
7171	9.20e-01	8.44e-02	0.1111	1.7256971	0.19174246	11714.56	TPM4	tropomyosin 4
105372295	9.20e-01	9.14e-02	0.619	-1.6878912	-1.04474217	12.28	LOC105372295	uncharacterized LOC105372295
3780	9.20e-01	8.99e-02	0.783	-1.6959932	-1.32797006	209.67	KCNN1	potassium calcium-activated channel subfamily N member 1
664701	9.20e-01	8.18e-02	1.1237	-1.7401614	-1.9554531	30.51	ZNF826P	zinc finger protein 826, pseudogene
730087	9.20e-01	8.73e-02	0.9916	-1.7097162	-1.69542423	92.23	ZNF726	zinc finger protein 726
284459	9.20e-01	8.02e-02	0.7617	-1.7497608	-1.3328593	1488.67	ZNF875	zinc finger protein 875
100507433	9.20e-01	8.03e-02	0.9487	-1.748973	-1.65926317	34.26	ZNF571-AS1	ZNF571 antisense RNA 1
11184	9.20e-01	7.87e-02	0.779	-1.7580736	-1.36949171	250.08	MAP4K1	mitogen-activated protein kinase kinase kinase kinase 1
56915	9.20e-01	8.62e-02	0.2456	1.7160121	0.42147178	602.01	EXOSC5	exosome component 5
7376	9.20e-01	8.95e-02	0.5262	-1.6982321	-0.89352774	894.37	NR1H2	nuclear receptor subfamily 1 group H member 2
59348	9.20e-01	7.88e-02	0.8007	-1.7575228	-1.40733473	202.03	ZNF350	zinc finger protein 350
55762	9.20e-01	8.89e-02	0.6023	-1.7012122	-1.0245892	344.11	ZNF701	zinc finger protein 701
7696	9.20e-01	9.29e-02	0.5391	-1.6805295	-0.90604001	96.4	ZNF137P	zinc finger protein 137, pseudogene
91661	9.20e-01	8.41e-02	0.6237	-1.7274854	-1.07736904	471.7	ZNF765	zinc finger protein 765
107983998	9.20e-01	9.12e-02	0.368	1.6888458	0.62155902	42.98	LOC107983998	uncharacterized LOC107983998
79818	9.20e-01	8.70e-02	0.8715	-1.7112846	-1.49144972	401.71	ZNF552	zinc finger protein 552
147686	9.20e-01	8.86e-02	0.3055	1.7027894	0.52021486	372.87	ZNF418	zinc finger protein 418
342945	9.20e-01	9.00e-02	0.3441	-1.6954358	-0.58348151	85.65	ZSCAN22	zinc finger and SCAN domain containing 22
7691	9.20e-01	8.68e-02	0.4043	-1.7123431	-0.69230755	44.28	ZNF132	zinc finger protein 132
80023	9.20e-01	8.16e-02	0.468	-1.7413875	-0.81497309	502.83	NRSN2	neurensin 2
9962	9.20e-01	8.66e-02	0.7974	-1.71365	-1.36643879	1063.01	SLC23A2	solute carrier family 23 member 2
23236	9.20e-01	8.51e-02	0.1855	-1.7220096	-0.31943657	395.16	PLCB1	phospholipase C beta 1
55614	9.20e-01	9.11e-02	0.4	-1.6895844	-0.67580991	400.05	KIF16B	kinesin family member 16B
10741	9.20e-01	8.81e-02	0.7862	-1.7053668	-1.34072451	660.22	RBBP9	RB binding protein 9, serine hydrolase
3055	9.20e-01	8.81e-02	0.882	-1.7055938	-1.50430451	31.26	HCK	HCK proto-oncogene, Src family tyrosine kinase
51526	9.20e-01	8.61e-02	0.2891	1.7163844	0.49618202	816.26	OSER1	oxidative stress responsive serine rich 1
101927559	9.20e-01	8.79e-02	0.656	-1.7065467	-1.11948938	163.28	CEBPB-AS1	CEBPB antisense RNA 1
1051	9.20e-01	8.07e-02	0.7109	-1.7468453	-1.24187105	562.77	CEBPB	CCAAT enhancer binding protein beta
55251	9.20e-01	8.36e-02	0.6308	-1.7301626	-1.09132679	1932.97	PCMTD2	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 2
109864280	9.20e-01	8.79e-02	0.3976	-1.7064825	-0.67846227	3132.6	RNA18SN2	RNA, 18S ribosomal N2
109910380	9.20e-01	8.97e-02	0.4016	-1.69702	-0.68159668	3136.97	RNA18SN3	RNA, 18S ribosomal N3
106631781	9.20e-01	8.29e-02	0.3958	-1.7338498	-0.68618631	3121.46	RNA18SN1	RNA, 18S ribosomal N1
6782	9.20e-01	9.00e-02	0.1265	1.6956565	0.21447508	2001.39	HSPA13	heat shock protein family A (Hsp70) member 13
27443	9.20e-01	8.88e-02	0.1702	1.7015066	0.28961593	5932.84	CECR2	CECR2 histone acetyl-lysine reader
728233	9.20e-01	9.17e-02	0.4904	-1.6865324	-0.82711216	509.35	PI4KAP1	phosphatidylinositol 4-kinase alpha pseudogene 1
5625	9.20e-01	9.04e-02	0.6694	-1.6934225	-1.13358159	546.8	PRODH	proline dehydrogenase 1
23119	9.20e-01	9.00e-02	0.672	-1.6953432	-1.1392231	2741.01	HIC2	HIC ZBTB transcriptional repressor 2
135	9.20e-01	8.84e-02	0.2376	-1.7040326	-0.40489024	91.65	ADORA2A	adenosine A2a receptor
129138	9.20e-01	9.05e-02	0.4054	-1.6928976	-0.68635639	298.63	ANKRD54	ankyrin repeat domain 54
9463	9.20e-01	8.33e-02	0.1416	-1.7320038	-0.24522278	329.54	PICK1	protein interacting with PRKCA 1
29780	9.20e-01	8.97e-02	0.5906	-1.6970961	-1.00232526	549.51	PARVB	parvin beta
105373077	9.20e-01	8.03e-02	0.4028	-1.7489355	-0.70453831	30.76	LOC105373077	uncharacterized LOC105373077
109864273	9.20e-01	8.87e-02	0.3967	-1.7023167	-0.67532622	3130.67	RNA18SN4	RNA, 18S pre-ribosomal N4
55344	9.20e-01	8.90e-02	0.1384	1.7006397	0.23531205	3929.58	PLCXD1	phosphatidylinositol specific phospholipase C X domain containing 1
283981	9.20e-01	8.51e-02	0.3167	-1.7220323	-0.54530841	54.45	LINC00685	long intergenic non-protein coding RNA 685
105373102	9.20e-01	9.24e-02	0.3564	1.6830475	0.59982626	76.18	LOC105373102	uncharacterized LOC105373102
3052	9.20e-01	8.30e-02	0.8686	-1.7334887	-1.50568236	696.67	HCCS	holocytochrome c synthase
349408	9.20e-01	8.41e-02	0.6129	-1.7274389	-1.05872327	15.96	TLR8-AS1	TLR8 antisense RNA 1
30011	9.20e-01	8.05e-02	0.2572	-1.7478612	-0.44961125	775.42	SH3KBP1	SH3 domain containing kinase binding protein 1
54954	9.20e-01	8.92e-02	0.656	-1.6996821	-1.11496413	312.44	FAM120C	family with sequence similarity 120C
139886	9.20e-01	8.78e-02	0.2758	1.7071106	0.47076161	864.64	SPIN4	spindlin family member 4
84707	9.20e-01	8.93e-02	0.5706	1.6990957	0.96942882	506.18	BEX2	brain expressed X-linked 2
203427	9.20e-01	9.19e-02	0.669	-1.6854739	-1.12754824	206.4	SLC25A43	solute carrier family 25 member 43
29071	9.20e-01	9.28e-02	0.373	-1.6807043	-0.62695426	343.68	C1GALT1C1	C1GALT1 specific chaperone 1
7626	9.20e-01	8.82e-02	0.7938	-1.7049534	-1.35337528	373.81	ZNF75D	zinc finger protein 75D
541578	9.20e-01	9.13e-02	0.1624	1.6886268	0.27421168	873.69	EOLA2	endothelium and lymphocyte associated ASCH domain 2
8776	9.20e-01	8.63e-02	0.1295	-1.7150711	-0.22209332	625.5	MTMR1	myotubularin related protein 1
8273	9.20e-01	8.87e-02	0.6117	-1.7021244	-1.04126371	182.9	SLC10A3	solute carrier family 10 member 3
2539	9.20e-01	8.58e-02	0.2016	-1.7177419	-0.34625617	1368.84	G6PD	glucose-6-phosphate dehydrogenase
100008588	9.20e-01	8.38e-02	0.3943	-1.7292158	-0.68188571	3114.87	RNA18SN5	RNA, 18S ribosomal N5
285331	9.22e-01	9.31e-02	0.194	1.6790392	0.32577472	439.09	CCDC66	coiled-coil domain containing 66
113219467	9.23e-01	1.95e-01	0.3202	-1.2963202	-0.41509363	4572.48	MIR12136	microRNA 12136
643837	9.23e-01	1.12e-01	0.2602	-1.5876476	-0.41314157	142.77	LINC01128	long intergenic non-protein coding RNA 1128
148398	9.23e-01	2.28e-01	0.5512	-1.2068029	-0.66517634	227.35	SAMD11	sterile alpha motif domain containing 11
339451	9.23e-01	1.69e-01	0.3674	-1.3769421	-0.50590507	557.64	KLHL17	kelch like family member 17
9636	9.23e-01	1.67e-01	0.2345	-1.3812794	-0.3238729	191.85	ISG15	ISG15 ubiquitin like modifier
100288175	9.23e-01	2.63e-01	0.4322	-1.1184692	-0.4833715	27.85	LOC100288175	uncharacterized LOC100288175
112267874	9.23e-01	1.92e-01	0.5738	-1.3039378	-0.74824712	13.22	LOC112267874	replaced by ID 105378948
54991	9.23e-01	2.13e-01	0.2455	-1.2440147	-0.30545987	257.54	C1orf159	chromosome 1 open reading frame 159
51150	9.23e-01	1.44e-01	0.3295	-1.4611874	-0.48153128	1595.92	SDF4	stromal cell derived factor 4
118424	9.23e-01	1.90e-01	0.3536	-1.3109606	-0.46354285	905.05	UBE2J2	ubiquitin conjugating enzyme E2 J2
126789	9.23e-01	3.19e-01	0.3132	-0.9956117	-0.31185927	354.01	PUSL1	pseudouridine synthase like 1
54998	9.23e-01	3.17e-01	0.3126	-1.0009719	-0.31294687	1696.88	AURKAIP1	aurora kinase A interacting protein 1
81669	9.23e-01	2.88e-01	0.3772	-1.0614692	-0.40040614	2569.74	CCNL2	cyclin L2
148413	9.23e-01	2.72e-01	0.3407	-1.0994918	-0.37463927	371	MRPL20-AS1	MRPL20 antisense RNA 1
219293	9.23e-01	1.28e-01	0.878	-1.5208774	-1.33539118	212.45	ATAD3C	ATPase family AAA domain containing 3C
55210	9.23e-01	1.59e-01	0.6822	-1.4100021	-0.961961	1304.86	ATAD3A	ATPase family AAA domain containing 3A
29101	9.23e-01	2.58e-01	0.4717	-1.1304101	-0.53325894	2235.8	SSU72	SSU72 homolog, RNA polymerase II CTD phosphatase
